,id,Type,Region,tags.generator:method,tags.generator:source,tags.power,power_output_MW,tags.generator:type,tags.location,tags.frequency,other_tags,geometry,Country
1007,9153574161,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49290319999997 19.3975547000001),MM
1008,9153574162,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49296549999997 19.3976336000001),MM
1009,9153574163,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49274739999997 19.3973576000001),MM
1010,9153574164,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49305849999998 19.3972619000001),MM
1011,9153574165,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49330349999998 19.397575500000098),MM
1012,9153574166,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.493426 19.397732300000097),MM
1013,9153574167,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.4930891 19.397301100000096),MM
1014,9153574168,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49296659999999 19.397144300000097),MM
1015,9153574169,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49333409999998 19.397614700000098),MM
1016,9153574170,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.4931504 19.3973795000001),MM
1017,9153574171,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.4929972 19.3971835000001),MM
1018,9153574172,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.4932116 19.3974579000001),MM
1019,9153574173,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.4932729 19.397536300000098),MM
1020,9153574174,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.4933954 19.397693100000097),MM
1021,9153574175,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.4933648 19.397653900000098),MM
1022,9153574176,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.4931197 19.3973403000001),MM
1023,9153574177,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.493181 19.3974187000001),MM
1024,9153574178,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.4932423 19.3974971000001),MM
1025,9153574179,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49302789999999 19.3972227000001),MM
1026,9153574180,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49331229999999 19.3970188000001),MM
1027,9153574181,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49356159999998 19.397334200000103),MM
1028,9153574182,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49368619999998 19.3974919000001),MM
1029,9153574183,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49334349999998 19.397058200000103),MM
1030,9153574184,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49321879999998 19.396900500000104),MM
1031,9153574185,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49359269999998 19.397373600000105),MM
1032,9153574186,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49340579999998 19.397137100000105),MM
1033,9153574187,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49325 19.396940000000104),MM
1034,9153574188,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49346809999997 19.397215900000102),MM
1035,9153574189,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49353039999997 19.3972948000001),MM
1036,9153574190,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.493655 19.3974525000001),MM
1037,9153574191,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49362389999997 19.3974131000001),MM
1038,9153574192,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49337459999998 19.3970977000001),MM
1039,9153574193,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49343689999998 19.3971765000001),MM
1040,9153574194,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49349929999998 19.3972554000001),MM
1041,9153574195,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49328109999998 19.3969794000001),MM
1042,9153574196,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49394259999998 19.396633),MM
1043,9153574197,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49419189999998 19.3969484000001),MM
1044,9153574198,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49431649999998 19.397106100000098),MM
1045,9153574199,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49397379999998 19.3966724000001),MM
1046,9153574200,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49384919999997 19.3965147000001),MM
1047,9153574201,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.494223 19.3969878000001),MM
1048,9153574202,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49403609999997 19.3967513000001),MM
1049,9153574203,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49388029999997 19.396554100000102),MM
1050,9153574204,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49409839999997 19.396830100000102),MM
1051,9153574205,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49416069999997 19.3969090000001),MM
1052,9153574206,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49428539999997 19.3970667000001),MM
1053,9153574207,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49425419999997 19.3970272000001),MM
1054,9153574208,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49400489999998 19.396711800000098),MM
1055,9153574209,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49406729999998 19.396790700000096),MM
1056,9153574210,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49412959999998 19.396869500000097),MM
